GISJOIN,YEAR,ANRCA,RES_ONLYA,TRUSTA,AIANHHA,RES_TRSTA,BLCK_GRPA,TRACTA,CDA,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,ANPSADPI,E4T001,E4T002,E4T003,E4T004,E4T005,E4T006,E4T007,E4T008,E4T009,E4T010,E4T011,E4T012,E4T013,E4T014,E4T015,E4T016,E4T017,E4T018,E4T019,E4T020,E4T021,E4T022,E4T023,E4T024,E4T025
"G13012100113015","1990",,,,,,"5","011301",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 5",0,8,9,16,13,0,0,8,22,39,0,17,18,25,17,0,8,18,19,20,67,37,37,0,11
"G13012100113016","1990",,,,,,"6","011301",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 6",0,8,0,0,7,0,22,22,16,22,40,7,0,24,24,7,9,14,13,0,44,0,8,0,0
"G13012100113021","1990",,,,,,"1","011302",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 1",50,82,80,55,120,55,82,50,66,70,119,71,31,109,54,53,29,29,33,38,79,37,0,0,0
"G13012100113022","1990",,,,,,"2","011302",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 2",27,45,0,0,57,0,9,14,38,18,31,19,7,10,42,47,34,0,21,6,62,67,0,0,10
"G13012100113023","1990",,,,,,"3","011302",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 3",69,83,15,0,14,85,14,30,38,14,24,0,38,15,27,0,0,21,20,47,55,26,0,20,0
"G13012100113024","1990",,,,,,"4","011302",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 4",195,106,115,161,169,59,69,104,106,91,101,90,73,135,47,53,19,6,142,16,134,85,0,0,0
"G13012100113025","1990",,,,,,"5","011302",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 5",24,17,28,14,0,15,10,0,8,34,71,46,16,11,19,14,19,12,26,72,84,69,56,0,26
"G13012100114031","1990",,,,,,"1","011403",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 1",0,0,10,16,0,0,0,9,8,20,20,0,10,0,19,10,18,10,65,8,68,142,85,10,37
"G13012100114032","1990",,,,,,"2","011403",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 2",0,0,0,9,0,15,21,7,0,8,0,0,7,7,0,8,0,6,23,14,36,30,13,14,16
"G13012100114033","1990",,,,,,"3","011403",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 3",0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,13,0,0,0,0
"G13012100114034","1990",,,,,,"4","011403",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 4",7,0,7,7,7,0,7,7,8,24,9,6,12,7,0,7,0,8,0,14,73,80,14,16,16
"G13012100114035","1990",,,,,,"5","011403",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 5",17,0,15,8,25,15,0,0,7,16,19,41,15,8,7,0,0,9,8,16,45,77,0,0,16
"G13012100114036","1990",,,,,,"6","011403",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 6",9,0,9,0,17,8,0,0,9,15,20,9,0,8,0,19,0,0,23,0,47,75,32,23,8
"G13012100114037","1990",,,,,,"7","011403",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 7",0,0,16,0,0,0,0,0,0,0,8,6,7,7,0,7,6,14,23,31,63,35,23,13,7
"G13012100114042","1990",,,,,,"2","011404",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 2",53,50,31,16,62,35,66,78,80,92,108,105,154,45,62,12,9,39,57,20,58,26,0,0,0
"G13012100114043","1990",,,,,,"3","011404",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,11,4,0,0,0
"G13012100114044","1990",,,,,,"4","011404",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 4",0,6,0,6,0,0,0,0,0,0,0,0,21,0,0,6,0,5,0,0,8,4,10,0,0
"G13012100114045","1990",,,,,,"5","011404",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 5",45,21,43,27,0,10,21,23,51,11,0,0,9,41,10,0,26,9,19,0,22,10,0,0,0
"G13012100114046","1990",,,,,,"6","011404",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 6",0,57,0,16,30,73,47,32,74,114,95,48,129,18,57,43,36,52,73,53,57,56,47,6,12
"G13012100114047","1990",,,,,,"7","011404",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 7",0,6,15,0,26,0,23,0,7,13,8,0,17,10,0,0,25,24,14,7,0,0,0,0,4
"G13012100114051","1990",,,,,,"1","011405",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 1",6,0,6,26,0,6,5,0,14,0,23,7,4,7,0,0,0,6,16,0,38,13,8,9,9
"G13012100114052","1990",,,,,,"2","011405",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 2",96,31,20,14,16,5,47,12,7,5,23,13,10,10,10,0,17,0,7,12,45,22,10,0,6
"G13012100114053","1990",,,,,,"3","011405",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 3",0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,6,5,0,11,12,10,8,5,0,0
"G13012100114055","1990",,,,,,"5","011405",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 5",10,15,16,23,26,15,10,19,45,6,0,20,0,8,0,30,12,8,55,7,28,14,0,0,0
"G13012100114057","1990",,,,,,"7","011405",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 7",0,17,18,0,65,30,27,21,45,22,41,21,7,26,6,0,9,6,34,15,92,57,13,10,23
"G13012100114061","1990",,,,,,"1","011406",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 1",0,18,18,8,0,0,0,6,0,12,16,19,9,37,17,15,18,0,14,15,43,17,0,0,14
"G13012100114062","1990",,,,,,"2","011406",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,19,20,12
"G13012100114063","1990",,,,,,"3","011406",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 3",0,0,0,0,0,0,0,0,8,0,0,0,0,17,6,7,10,12,29,21,38,75,21,29,36
"G13012100114064","1990",,,,,,"4","011406",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 4",15,6,0,0,0,0,0,8,0,8,15,6,24,6,5,8,6,8,45,23,88,40,0,14,19
"G13012100114068","1990",,,,,,"8","011406",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 8",6,0,0,0,11,0,0,17,0,0,8,8,0,9,0,14,10,7,24,13,89,61,0,10,0
"G13012100114069","1990",,,,,,"9","011406",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 9",12,45,34,54,41,39,43,48,61,34,38,20,41,60,36,24,31,21,50,36,78,80,41,12,44
"G13012100114071","1990",,,,,,"1","011407",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 1",0,8,0,0,0,0,0,0,0,10,0,0,9,0,0,0,9,0,3,25,62,65,20,9,17
"G13012100114072","1990",,,,,,"2","011407",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 2",0,0,0,22,9,7,0,37,20,8,36,17,18,17,26,0,0,0,37,25,71,44,13,0,8
"G13012100114073","1990",,,,,,"3","011407",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 3",0,7,0,0,12,0,0,0,0,0,0,0,0,0,18,0,9,0,0,0,22,37,8,0,27
"G13012100114074","1990",,,,,,"4","011407",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 4",8,27,14,16,17,8,34,22,39,33,47,11,19,39,11,28,36,0,46,68,146,87,82,0,8
"G13012100114075","1990",,,,,,"5","011407",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 5",24,16,18,33,8,14,0,28,14,8,7,36,3,11,21,12,23,0,8,48,43,36,44,9,0
"G13012100114076","1990",,,,,,"6","011407",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 6",0,0,0,0,0,0,0,0,7,0,0,0,10,9,0,0,9,0,28,0,34,60,17,12,16
"G13012100114077","1990",,,,,,"7","011407",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 7",0,9,0,0,0,0,0,0,13,0,10,8,11,0,9,10,0,0,29,10,44,93,19,39,28
"G13012100114081","1990",,,,,,"1","011408",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 1",0,0,0,0,0,0,0,9,0,9,0,7,0,0,15,0,0,0,11,31,42,53,36,19,10
"G13012100114082","1990",,,,,,"2","011408",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 2",0,0,7,0,6,0,8,8,0,17,7,15,8,7,6,45,6,22,6,30,102,162,158,49,138
"G13012100114083","1990",,,,,,"3","011408",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 3",27,0,26,8,12,13,19,11,64,16,30,27,52,18,35,25,39,10,108,106,237,231,77,8,36
"G13012100114084","1990",,,,,,"4","011408",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 4",0,0,6,0,7,0,0,0,19,9,14,8,0,5,22,14,0,19,18,9,48,16,9,0,0
"G13012100114085","1990",,,,,,"5","011408",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 5",7,13,0,0,0,0,0,7,20,19,32,0,30,18,16,25,0,13,24,35,71,69,16,15,0
"G13012100114086","1990",,,,,,"6","011408",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 6",0,0,20,9,16,39,9,0,58,54,37,41,53,13,91,52,60,43,55,93,155,109,32,11,28
"G13012100114088","1990",,,,,,"8","011408",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 8",8,0,0,0,0,28,10,0,17,16,43,0,16,8,34,9,44,31,32,76,90,34,8,9,5
"G13012100114091","1990",,,,,,"1","011409",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 1",0,6,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"G13012100114092","1990",,,,,,"2","011409",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 2",0,0,0,0,0,4,8,0,9,0,0,15,0,8,8,0,9,8,8,7,92,176,123,31,41
"G13012100114093","1990",,,,,,"3","011409",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 3",11,41,72,56,40,33,155,82,117,70,129,34,133,49,100,37,49,34,96,58,148,68,27,16,0
"G13012100114094","1990",,,,,,"4","011409",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,36,15,147
"G13012100114095","1990",,,,,,"5","011409",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 5",0,0,0,5,8,0,0,0,0,6,0,8,9,0,8,6,0,0,19,9,38,124,95,16,28
"G13012100114096","1990",,,,,,"6","011409",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 6",0,9,8,0,18,17,6,0,23,11,28,24,63,6,21,26,37,34,54,23,148,98,66,13,16
"G13012100114097","1990",,,,,,"7","011409",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 7",0,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,56,56,22,56
"G13012100114101","1990",,,,,,"1","011410",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 1",15,33,25,21,22,23,34,39,19,23,13,16,0,0,8,7,20,19,13,15,56,87,65,37,38
"G13012100114102","1990",,,,,,"2","011410",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 2",5,9,6,4,13,0,0,7,9,15,15,16,15,14,7,7,30,7,38,6,56,49,37,35,49
"G13012100114105","1990",,,,,,"5","011410",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 5",0,4,0,0,5,12,7,0,6,5,13,6,6,0,7,0,13,6,31,30,81,153,63,54,88
"G13012100114111","1990",,,,,,"1","011411",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 1",7,19,16,7,12,8,33,31,33,24,54,0,19,40,11,37,34,26,75,77,156,124,41,17,22
"G13012100114112","1990",,,,,,"2","011411",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 2",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,16,17,9,0,23,57,19,7,17
"G13012100114113","1990",,,,,,"3","011411",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 3",0,0,0,0,0,0,0,0,10,0,0,0,0,17,11,0,0,9,0,7,7,36,35,0,0
"G13012100114114","1990",,,,,,"4","011411",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 4",0,0,0,8,8,0,0,0,0,0,0,0,0,5,0,7,0,0,10,9,26,51,71,22,112
"G13012100114115","1990",,,,,,"5","011411",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 5",0,0,0,0,0,12,0,0,0,0,10,9,0,0,0,20,0,9,8,12,51,100,24,8,16
"G13012100114116","1990",,,,,,"6","011411",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 6",0,31,0,12,0,0,22,9,16,10,26,17,23,8,22,18,0,32,17,26,140,84,23,0,0
"G130121001153","1990",,,,,,"3","0115",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 3",10,0,0,31,0,0,6,0,9,0,27,11,10,0,9,0,0,0,19,10,40,0,9,10,0
"G130121001154","1990",,,,,,"4","0115",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 4",10,0,0,0,24,8,19,5,5,22,21,26,16,8,17,5,15,10,33,7,74,123,65,23,43
"G130121001155","1990",,,,,,"5","0115",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 5",8,16,0,0,0,0,0,0,11,0,15,20,0,6,0,0,26,0,21,8,32,53,53,10,71
"G130121001156","1990",,,,,,"6","0115",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 6",1,29,16,1,12,2,21,9,14,14,22,17,16,23,4,7,14,8,43,16,105,81,50,17,65
"G130121001157","1990",,,,,,"7","0115",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 7",8,7,24,0,0,6,22,0,23,0,7,0,44,17,11,16,9,16,73,25,192,328,256,67,139
"G130121001159","1990",,,,,,"9","0115",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 9",19,49,20,0,31,21,41,21,31,9,30,27,34,8,18,18,35,22,43,37,78,76,42,12,33
"G13012100116011","1990",,,,,,"1","011601",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 1",0,29,25,9,39,26,34,45,17,9,34,37,15,28,17,15,46,15,76,92,146,95,36,9,16
"G13012100116012","1990",,,,,,"2","011601",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 2",16,0,0,9,0,9,0,0,0,0,0,6,0,0,0,10,0,0,12,0,16,45,0,9,20
"G13012100116013","1990",,,,,,"3","011601",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 3",9,16,0,0,0,0,0,0,9,19,9,8,18,0,0,0,0,8,6,0,27,9,17,0,12
"G13012100116014","1990",,,,,,"4","011601",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 4",20,23,0,17,8,9,15,9,0,17,12,0,28,9,29,38,15,16,32,73,105,66,18,20,29
"G13012100116015","1990",,,,,,"5","011601",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 5",20,48,6,22,8,0,64,43,13,7,26,15,29,16,33,38,50,26,44,68,78,41,9,14,9
"G13012100116016","1990",,,,,,"6","011601",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 6",61,71,10,14,35,39,16,27,39,13,56,47,44,61,61,26,26,9,41,23,92,49,0,10,0
"G13012100116017","1990",,,,,,"7","011601",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G13012100116023","1990",,,,,,"3","011602",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 3",0,0,0,0,0,0,11,0,0,0,0,7,6,9,0,0,15,0,0,8,10,95,56,9,25
"G13012100116024","1990",,,,,,"4","011602",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 4",14,29,25,23,25,30,13,26,10,49,74,15,65,0,53,30,15,41,25,67,49,42,9,0,14
"G13012100116025","1990",,,,,,"5","011602",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 5",39,10,12,16,44,47,15,26,24,69,59,6,70,13,42,40,34,45,67,35,80,19,0,13,13
"G13012100116026","1990",,,,,,"6","011602",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 6",0,11,9,0,12,0,14,0,0,0,0,0,0,0,0,0,0,0,0,16,11,0,0,0,0
"G13012100116027","1990",,,,,,"7","011602",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 7",15,15,0,9,0,0,0,9,0,8,16,8,34,13,14,55,22,8,97,51,244,130,24,8,11
"G13012100116029","1990",,,,,,"9","011602",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 9",0,27,6,7,8,0,32,15,15,12,8,22,21,25,15,31,51,11,98,54,161,146,127,19,76
"G13012100116031","1990",,,,,,"1","011603",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 1",8,0,0,0,7,7,0,0,0,0,0,0,5,0,8,8,0,0,34,39,93,115,37,21,9
"G13012100116032","1990",,,,,,"2","011603",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 2",7,0,0,7,0,0,0,0,15,0,19,14,36,24,50,38,38,35,39,37,92,55,37,25,14
"G13012100116033","1990",,,,,,"3","011603",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 3",0,6,0,0,0,19,0,0,7,0,0,0,0,18,0,0,7,0,8,10,0,42,58,24,65
"G13012100116038","1990",,,,,,"8","011603",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 8",10,8,0,0,0,7,15,0,18,0,17,21,15,11,0,0,9,9,22,31,83,135,107,42,142
"G13012100116039","1990",,,,,,"9","011603",,,"Fulton","121",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 9",0,22,9,7,0,16,0,0,7,8,45,17,7,14,16,23,10,22,47,67,204,203,135,49,99
"G13012309801981","1990",,,,,,"1","980198",,,"Gilmer","123",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",26,27,39,17,39,8,18,19,20,16,15,12,23,0,12,16,5,7,7,18,16,9,6,0,7
"G13012309801982","1990",,,,,,"2","980198",,,"Gilmer","123",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",71,49,40,43,12,40,26,0,6,7,27,8,6,14,8,14,28,6,22,9,7,15,0,0,0
"G130123098021","1990",,,,,,"1","9802",,,"Gilmer","123",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",54,79,28,42,28,17,23,14,11,8,23,2,10,15,2,9,3,0,18,6,7,9,2,5,3
"G130123098022","1990",,,,,,"2","9802",,,"Gilmer","123",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",29,29,45,25,34,34,25,5,13,27,6,38,1,0,3,2,4,3,0,4,2,8,0,2,0
"G130123098023","1990",,,,,,"3","9802",,,"Gilmer","123",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",18,51,41,6,17,2,29,35,39,3,5,11,9,2,0,0,2,0,14,5,27,9,0,0,0
"G130123098024","1990",,,,,,"4","9802",,,"Gilmer","123",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",50,57,19,36,48,10,33,70,44,29,9,40,10,9,9,8,10,0,8,0,10,0,0,0,0
"G130123098025","1990",,,,,,"5","9802",,,"Gilmer","123",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 5",57,54,36,37,34,10,52,0,35,17,20,2,39,0,39,32,9,0,20,0,15,3,0,0,0
"G130123098026","1990",,,,,,"6","9802",,,"Gilmer","123",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 6",39,55,9,19,32,32,8,9,32,26,28,38,8,0,29,9,26,10,0,0,0,0,0,0,0
"G130123098027","1990",,,,,,"7","9802",,,"Gilmer","123",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 7",35,42,8,14,23,23,17,9,44,20,3,12,4,14,14,2,6,12,8,0,23,5,0,3,0
"G130123098028","1990",,,,,,"8","9802",,,"Gilmer","123",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 8",20,42,30,32,24,26,10,34,35,8,32,24,6,2,15,9,4,5,16,9,29,2,11,0,0
"G130123098031","1990",,,,,,"1","9803",,,"Gilmer","123",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",39,21,15,0,23,28,22,13,16,0,43,13,12,20,8,7,7,7,5,0,7,0,0,0,0
"G130123098032","1990",,,,,,"2","9803",,,"Gilmer","123",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",43,60,34,10,26,12,15,19,25,12,20,7,5,27,0,28,0,10,23,8,10,0,0,0,0
"G130123098033","1990",,,,,,"3","9803",,,"Gilmer","123",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",22,14,23,24,14,23,34,10,5,13,7,30,5,0,11,6,0,0,25,3,4,10,0,0,0
"G13012309804961","1990",,,,,,"1","980496",,,"Gilmer","123",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G13012309804971","1990",,,,,,"1","980497",,,"Gilmer","123",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G13012309804981","1990",,,,,,"1","980498",,,"Gilmer","123",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G130125099011","1990",,,,,,"1","9901",,,"Glascock","125",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",24,26,26,12,11,11,22,10,18,26,11,6,4,15,9,2,2,0,15,8,5,6,4,0,0
"G130125099012","1990",,,,,,"2","9901",,,"Glascock","125",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",35,59,14,24,21,16,9,26,15,9,16,4,17,3,10,12,5,6,11,0,11,9,0,0,0
"G130125099021","1990",,,,,,"1","9902",,,"Glascock","125",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",38,29,8,18,15,15,14,16,15,8,3,12,9,11,6,10,8,0,6,3,12,6,2,0,0
"G130127000012","1990",,,,,,"2","0001",,,"Glynn","127",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",21,0,9,6,49,0,0,0,20,0,31,22,45,23,21,0,8,0,39,29,69,34,44,0,42
"G130127000014","1990",,,,,,"4","0001",,,"Glynn","127",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",41,42,8,49,40,37,46,30,19,30,6,17,37,21,27,20,40,0,24,10,78,16,7,0,5
"G130127000015","1990",,,,,,"5","0001",,,"Glynn","127",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 5",0,60,15,0,9,14,12,20,45,29,8,40,47,24,7,19,11,7,8,21,50,35,0,0,6
"G130127000016","1990",,,,,,"6","0001",,,"Glynn","127",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 6",31,62,62,9,10,29,59,49,55,18,17,11,36,10,24,10,8,0,32,9,49,30,11,0,0
"G130127000017","1990",,,,,,"7","0001",,,"Glynn","127",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 7",22,11,21,33,8,0,5,10,15,0,10,14,8,39,13,12,0,23,36,8,34,15,23,14,29
"G13012700001992","1990",,,,,,"2","000199",,,"Glynn","127",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G130127000021","1990",,,,,,"1","0002",,,"Glynn","127",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",6,14,0,19,29,7,27,11,41,15,44,14,9,7,4,13,26,11,22,7,14,27,21,13,0
"G130127000022","1990",,,,,,"2","0002",,,"Glynn","127",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",7,0,5,7,26,6,15,12,14,20,8,22,19,11,13,0,43,6,0,29,103,56,24,29,17
"G130127000023","1990",,,,,,"3","0002",,,"Glynn","127",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",0,7,16,15,21,20,29,18,22,15,14,39,44,35,22,7,6,26,49,31,63,64,13,0,25
"G130127000031","1990",,,,,,"1","0003",,,"Glynn","127",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",11,36,0,12,11,0,21,9,0,0,12,10,0,0,10,19,13,9,10,9,29,21,0,0,10
"G130127000032","1990",,,,,,"2","0003",,,"Glynn","127",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",0,0,0,7,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,8,26,23,0,115
"G130127000033","1990",,,,,,"3","0003",,,"Glynn","127",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",11,30,11,10,17,0,0,15,10,10,0,10,9,26,10,8,10,9,28,9,51,106,62,9,26
"G130127000034","1990",,,,,,"4","0003",,,"Glynn","127",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",26,9,18,18,0,8,23,25,9,16,17,15,23,9,22,23,20,14,54,15,63,89,30,10,23
"G130127000041","1990",,,,,,"1","0004",,,"Glynn","127",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",0,32,18,18,30,0,17,9,10,30,29,19,9,0,36,17,37,36,79,46,121,48,10,0,0
"G130127000042","1990",,,,,,"2","0004",,,"Glynn","127",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",66,72,49,28,45,31,0,48,80,97,69,33,35,43,55,11,10,10,31,40,44,22,0,0,0
"G130127000043","1990",,,,,,"3","0004",,,"Glynn","127",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",36,120,45,17,47,46,59,45,9,20,25,9,69,18,27,17,18,19,16,27,62,8,0,0,9
"G130127000044","1990",,,,,,"4","0004",,,"Glynn","127",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",58,26,41,24,25,23,35,41,89,13,11,12,30,0,12,12,14,23,26,27,47,11,11,0,0
